Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
LINC01723		20p12.1	AMP	29	571	5.1%	No
ZNF837		19q13.43	AMP	10	571	1.8%	No
NCOR1P3		7p11.2	AMP	10	571	1.8%	No
XRCC6P3		1q41	AMP	21	571	3.7%	No
DNM1P28		15q13.2	AMP	1	571	0.2%	No
SLFN13		17q12	HOMDEL	1	571	0.2%	No
RPL23AP67		12q24.33	AMP	3	571	0.5%	No
IGHV3-53		14q32.33	AMP	19	571	3.3%	No
GLI1		12q13.3	AMP	8	571	1.4%	Yes
SERTAD3		19q13.2	AMP	34	571	6.0%	No
GMPR2		14q12	AMP	6	571	1.1%	No
SERTAD4		1q32.2	AMP	11	571	1.9%	No
ZNG1A		9p24.3	AMP	10	571	1.8%	No
ZNF682		19p12	AMP	38	571	6.7%	No
TRIM60P18		7q11.21	AMP	10	571	1.8%	No
ZNF710-AS1		15q26.1	AMP	5	571	0.9%	No
LMF2		22q13.33	HOMDEL	1	571	0.2%	No
NCOR1P2		17p11.2	AMP	1	571	0.2%	No
CLXN		8q11.21	AMP	19	571	3.3%	No
CCR8		3p22.1	AMP	6	571	1.1%	No
CD38		4p15.32	AMP	4	571	0.7%	No
UBE2Q2P6		15q25.2	AMP	4	571	0.7%	No
IER5		1q25.3	AMP	17	571	3.0%	No
RNU7-167P		22q12.3	AMP	9	571	1.6%	No
ZNF836		19q13.33	AMP	8	571	1.4%	No
IGHV3-52		14q32.33	AMP	19	571	3.3%	No
OR8B5P		11q24.2	AMP	6	571	1.1%	No
SLC25A1P1		11q14.2	AMP	14	571	2.5%	No
COX6B1		19q13.12	AMP	47	571	8.2%	No
OR14I1		1q44	AMP	28	571	4.9%	No
SLFN12		17q12	HOMDEL	1	571	0.2%	No
HNRNPA3P10		12q13.13	AMP	6	571	1.1%	No
GLI2		2q14.2	AMP	8	571	1.4%	No
C2CD4C		19p13.3	AMP	2	571	0.4%	No
CYP2G2P		19q13.2	AMP	20	571	3.5%	No
CCDC154		16p13.3	AMP	9	571	1.6%	No
GAA		17q25.3	AMP	13	571	2.3%	No
GLIS2-AS1		16p13.3	AMP	7	571	1.2%	No
TGM6		20p13	AMP	30	571	5.3%	No
ABCA17P		16p13.3	AMP	7	571	1.2%	No
BLNK		10q24.1	AMP	1	571	0.2%	No
CROCC2		2q37.3	AMP	10	571	1.8%	No
TNFRSF18		1p36.33	AMP	11	571	1.9%	No
GSTM5		1p13.3	AMP	10	571	1.8%	No
CDC25B		20p13	AMP	29	571	5.1%	No
NRIR		2p25.2	AMP	10	571	1.8%	No
RN7SL862P		18p11.22	AMP	9	571	1.6%	No
TCF3P1		9p24.1	AMP	8	571	1.4%	No
LINC02986		8q21.13	AMP	32	571	5.6%	No
OR6R2P		8p21.3	AMP	1	571	0.2%	No
RN7SL552P		4q21.23	AMP	1	571	0.2%	No
TRAJ49		14q11.2	AMP	12	571	2.1%	No
LINC00322		21q22.3	AMP	7	571	1.2%	No
RND2		17q21.31	AMP	1	571	0.2%	No
SLFN11		17q12	HOMDEL	1	571	0.2%	Yes
HSPA8P16		7q21.11	AMP	23	571	4.0%	No
TNS2-AS1		12q13.13	AMP	3	571	0.5%	No
RNU6-1040P		8q21.2	AMP	31	571	5.4%	No
ANKRD20A5P		18p11.21	AMP	8	571	1.4%	No
NCR1		19q13.42	AMP	11	571	1.9%	No
CAB39L		13q14.2	HOMDEL	2	571	0.4%	No
IFNWP2		9p21.3	HOMDEL	12	571	2.1%	No
SNORD13		8p12	HOMDEL	1	571	0.2%	No
TNFRSF19		13q12.12	AMP	4	571	0.7%	No
ZNF841		19q13.41	AMP	8	571	1.4%	No
GPR31		6q27	AMP	3	571	0.5%	No
LINC02985		12q24.31	AMP	6	571	1.1%	No
CDC25A		3p21.31	AMP	5	571	0.9%	No
GSTM4		1p13.3	AMP	10	571	1.8%	No
LINC02484		4p15.1	HOMDEL	1	571	0.2%	No
RND3		2q23.3	AMP	10	571	1.8%	No
HSPA8P15		6q25.1	AMP	6	571	1.1%	No
RNU5A-3P		8p12	HOMDEL	1	571	0.2%	No
GPR32		19q13.33	AMP	5	571	0.9%	No
TRPC6P10		7p14.3	AMP	10	571	1.8%	No
LINC02984		8q11.23	AMP	34	571	6.0%	No
MRPL51P2		21q22.3	AMP	8	571	1.4%	No
AHCYL2		7q32.1	AMP	16	571	2.8%	No
ANAPC1P6		2q12.2	AMP	9	571	1.6%	No
MRPL20P1		21q22.13	AMP	6	571	1.1%	No
YPEL3-DT		16p11.2	AMP	2	571	0.4%	No
RNU6-681P		3q26.32	AMP	86	571	15.1%	No
ZDHHC11B		5p15.33	HOMDEL	1	571	0.2%	No
GRIA2		4q32.1	AMP	1	571	0.2%	No
RNU7-182P		2q14.3	AMP	7	571	1.2%	No
FABP5P1		13q22.1	AMP	10	571	1.8%	No
PENK-AS1		8q12.1	AMP	41	571	7.2%	No
LINC00324		17p13.1	AMP	2	571	0.4%	No
RNPEP		1q32.1	AMP	20	571	3.5%	No
HSPA8P14		12q24.12	AMP	2	571	0.4%	No
SPIC		12q23.2	AMP	1	571	0.2%	No
VSIG8		1q23.2	AMP	19	571	3.3%	No
CDKN2A		9p21.3	HOMDEL	12	571	2.1%	Yes
ARHGEF25		12q13.3	AMP	8	571	1.4%	No
SPATS1		6p21.1	AMP	23	571	4.0%	No
IER3-AS1		6p21.33	AMP	18	571	3.2%	No
GNA13P1		2p12	AMP	21	571	3.7%	No
LINC02983		7p22.1	AMP	7	571	1.2%	No
PIWIL1		12q24.33	AMP	2	571	0.4%	No
GPR33		14q12	AMP	4	571	0.7%	No
FABP5P2		13q14.3	AMP	6	571	1.1%	No
CDC25C		5q31.2	AMP	1	571	0.2%	No
CHPF2		7q36.1	AMP	26	571	4.6%	No
ABCF2-H2BK1		7q36.1	AMP	26	571	4.6%	No
RNU6-371P		1p31.3	AMP	6	571	1.1%	No
OTOA		16p12.2	AMP	3	571	0.5%	No
RN7SL198P		10p13	AMP	20	571	3.5%	No
GRIA1		5q33.2	AMP	2	571	0.4%	No
SPIB		19q13.33	AMP	6	571	1.1%	No
HSPA8P13		8q11.1	AMP	22	571	3.9%	No
ZFYVE9P2		2p24.2	AMP	9	571	1.6%	No
LINC00323		21q22.2	AMP	5	571	0.9%	No
PCNPP5		13q14.2	HOMDEL	15	571	2.6%	No
AHCYL1		1p13.3	AMP	10	571	1.8%	No
SPATS2		12q13.12	AMP	5	571	0.9%	No
IFNWP4		9p21.3	HOMDEL	6	571	1.1%	No
EIF3LP1		14q31.1	AMP	4	571	0.7%	No
FABP5P3		7q36.1	AMP	26	571	4.6%	No
LINC00326		6q23.2	AMP	3	571	0.5%	No
ERCC1		19q13.32	AMP	10	571	1.8%	Yes
CDKN2B		9p21.3	HOMDEL	12	571	2.1%	Yes
APP-DT		21q21.3	AMP	10	571	1.8%	No
LUZP1		1p36.12	AMP	4	571	0.7%	No
HSPA8P19		3q22.1	AMP	22	571	3.9%	No
ZNG1E		9q21.11	AMP	11	571	1.9%	No
GRIA4		11q22.3	AMP	8	571	1.4%	No
HSDL2-AS1		9q32	AMP	2	571	0.4%	No
TGM3		20p13	AMP	30	571	5.3%	No
LINC02634		10p11.21	HOMDEL	1	571	0.2%	No
MTCO1P20		22q12.3	HOMDEL	1	571	0.2%	No
CCDC150		2q33.1	AMP	16	571	2.8%	No
OR10R2		1q23.1	AMP	17	571	3.0%	No
LIMD1-AS1		3p21.31	AMP	3	571	0.5%	No
IGKJ4		2p11.2	AMP	120	571	21.0%	No
IFNWP5		9p21.3	HOMDEL	8	571	1.4%	No
RCHY1		4q21.1	AMP	16	571	2.8%	No
L3MBTL4-AS1		18p11.31	HOMDEL	1	571	0.2%	No
KDM8		16p12.1	AMP	2	571	0.4%	No
MILR1		17q23.3	AMP	5	571	0.9%	No
HSPA8P18		3p24.3	AMP	4	571	0.7%	No
RNF216-IT1		7p22.1	AMP	7	571	1.2%	No
ERCC2		19q13.32	AMP	10	571	1.8%	Yes
CNNM3-DT		2q11.2	AMP	19	571	3.3%	No
LINC02635		10p11.21	HOMDEL	1	571	0.2%	No
OTOF		2p23.3	AMP	11	571	1.9%	No
PBLD		10q21.3	AMP	2	571	0.4%	No
ROPN1L		5p15.2	AMP	34	571	6.0%	No
GPR35		2q37.3	AMP	10	571	1.8%	No
MEIS1-AS3		2p14	AMP	12	571	2.1%	No
ARHGEF26		3q25.2	AMP	42	571	7.4%	No
TGM2		20q11.23	AMP	35	571	6.1%	No
IGKJ5		2p11.2	AMP	120	571	21.0%	No
RAG1		11p12	AMP	3	571	0.5%	No
RAPGEF2		4q32.1	HOMDEL	1	571	0.2%	No
FABP5P4		13q31.3	AMP	7	571	1.2%	No
ZNG1F		9p11.2	AMP	8	571	1.4%	No
HSPA8P17		9p21.1	AMP	7	571	1.2%	No
TGM4		3p21.31	AMP	2	571	0.4%	No
ZXDC		3q21.3	AMP	20	571	3.5%	No
MANEALP1		2q21.3	AMP	6	571	1.1%	No
SNORA36B		1q41	AMP	21	571	3.7%	No
NCR2		6p21.1	AMP	22	571	3.9%	No
HNRNPA3P16		18q21.2	AMP	1	571	0.2%	No
RN7SL242P		1p31.1	AMP	7	571	1.2%	No
PTPMT1		11p11.2	AMP	1	571	0.2%	No
LUZP2		11p14.3	AMP	3	571	0.5%	No
EIF3LP3		10p11.1	AMP	22	571	3.9%	No
LINC00173		12q24.22	AMP	4	571	0.7%	No
TNFRSF17		16p13.13	AMP	6	571	1.1%	Yes
TRABD		22q13.33	HOMDEL	1	571	0.2%	No
NUP210		3p25.1	AMP	5	571	0.9%	No
LINC02988		1q21.2	AMP	47	571	8.2%	No
CCDC152		5p12	AMP	23	571	4.0%	No
PARP16		15q22.31	AMP	1	571	0.2%	No
MYLK3		16q11.2	AMP	21	571	3.7%	No
LINC00327		13q12.12	AMP	4	571	0.7%	No
CFAP206		6q15	AMP	13	571	2.3%	No
RND1		12q13.12	AMP	5	571	0.9%	No
LINC02637		10q11.22	HOMDEL	1	571	0.2%	No
RAG2		11p12	AMP	3	571	0.5%	No
ARHGEF28		5q13.2	AMP	1	571	0.2%	Yes
SNORA36C		2p14	AMP	10	571	1.8%	No
ERCC3		2q14.3	AMP	7	571	1.2%	Yes
FABP5P6		5q23.1	AMP	1	571	0.2%	No
WDTC1		1p36.11	AMP	3	571	0.5%	No
LINC02987		19q11	AMP	74	571	13.0%	No
NCR3		6p21.33	AMP	19	571	3.3%	No
MYLK4		6p25.2	AMP	20	571	3.5%	No
PARP15		3q21.1	AMP	22	571	3.9%	No
RPL21P67		6q23.2	HOMDEL	1	571	0.2%	No
MAFG-AS1		17q25.3	AMP	13	571	2.3%	No
MGAT4FP		1q32.1	AMP	19	571	3.3%	No
EIF3LP2		10q11.21	AMP	6	571	1.1%	No
ASS1P13		11q22.3	AMP	6	571	1.1%	No
EFCAB13		17q21.32	HOMDEL	1	571	0.2%	No
CD3G		11q23.3	AMP	7	571	1.2%	No
SERPINA15P		8q23.3	AMP	83	571	14.5%	No
RACGAP1P1		12q12	HOMDEL	1	571	0.2%	No
RNU1-153P		1q21.1	AMP	45	571	7.9%	No
GPR37		7q31.33	AMP	16	571	2.8%	No
ANAPC1P1		2p11.2	AMP	19	571	3.3%	No
LINC02018		3p12.3	AMP	7	571	1.2%	No
ASS1P3		9q21.2	AMP	5	571	0.9%	No
TRGV11		7p14.1	HOMDEL	1	571	0.2%	No
ERCC4		16p13.12	AMP	8	571	1.4%	Yes
TRAJ42		14q11.2	AMP	12	571	2.1%	No
OR7K1P		14q12	AMP	10	571	1.8%	No
IGKJ1		2p11.2	AMP	120	571	21.0%	No
RNU4-59P		1p22.1	AMP	13	571	2.3%	No
PRKRA		2q31.2	AMP	21	571	3.7%	No
LINC02019		3p21.2	AMP	5	571	0.9%	No
FAM20B		1q25.2	AMP	15	571	2.6%	No
RNU6-666P		10p12.1	AMP	16	571	2.8%	No
ANAPC1P2		2p11.2	AMP	19	571	3.3%	No
MFSD4B-DT		6q21	AMP	7	571	1.2%	No
IFNB1		9p21.3	HOMDEL	6	571	1.1%	No
RNU2-6P		13q14.13	AMP	5	571	0.9%	No
ERCC5		13q33.1	AMP	7	571	1.2%	Yes
ASS1P14		12p11.21	AMP	47	571	8.2%	No
IGLL3P		22q11.23	AMP	5	571	0.9%	No
RNU6-710P		9q31.3	AMP	2	571	0.4%	No
VN1R87P		19p12	AMP	44	571	7.7%	No
DPEP2NB		16q22.1	AMP	1	571	0.2%	No
VPS51P19		8p23.1	HOMDEL	1	571	0.2%	No
TNXB		6p21.33-p21.32	AMP	15	571	2.6%	No
RNU6-400P		12p11.1	AMP	47	571	8.2%	No
LINC01579		15q26.1-q26.2	AMP	7	571	1.2%	No
DNAJC30		7q11.23	AMP	7	571	1.2%	No
TRAJ43		14q11.2	AMP	11	571	1.9%	No
GPR39		2q21.2	AMP	5	571	0.9%	No
IGKJ2		2p11.2	AMP	120	571	21.0%	No
RNU6-409P		22q13.33	HOMDEL	2	571	0.4%	No
ASS1P11		7p15.3	AMP	17	571	3.0%	No
SLC35G5		8p23.1	HOMDEL	2	571	0.4%	No
GVQW3		11q13.5	AMP	26	571	4.6%	No
TGM1		14q12	AMP	6	571	1.1%	No
LINC02016		3q21.3	AMP	20	571	3.5%	No
RNU6-976P		14q31.3	AMP	5	571	0.9%	No
CTF1		16p11.2	AMP	2	571	0.4%	No
ERCC6		10q11.23	AMP	3	571	0.5%	Yes
TNXA		6p21.33	AMP	15	571	2.6%	No
TRAJ44		14q11.2	AMP	11	571	1.9%	No
TNFRSF14		1p36.32	AMP	10	571	1.8%	Yes
ASS1P12		9p21.1	AMP	6	571	1.1%	No
LINC02017		3p14.3	AMP	5	571	0.9%	No
IGKJ3		2p11.2	AMP	120	571	21.0%	No
FAM20C		7p22.3	AMP	10	571	1.8%	No
WT1		11p13	AMP	12	571	2.1%	Yes
ATOH1		4q22.2	HOMDEL	3	571	0.5%	No
TPRG1LP1		19q13.43	AMP	12	571	2.1%	No
MIR31HG		9p21.3	HOMDEL	12	571	2.1%	No
OR4F21		8p23.3	HOMDEL	17	571	3.0%	No
WNT7A		3p25.1	AMP	4	571	0.7%	No
MTRF1LP2		8q24.21	AMP	123	571	21.5%	No
HMGB3P16		5q22.2	HOMDEL	1	571	0.2%	No
LINC02487		6q27	HOMDEL	1	571	0.2%	No
ERCC8		5q12.1	AMP	1	571	0.2%	No
GLDCP1		4q12	AMP	7	571	1.2%	No
TRAJ45		14q11.2	AMP	11	571	1.9%	No
CD3D		11q23.3	AMP	7	571	1.2%	No
ASS1P10		5q32	AMP	1	571	0.2%	No
CCDC157		22q12.2	AMP	14	571	2.5%	No
IL20RA		6q23.3	AMP	3	571	0.5%	No
ENPP6		4q35.1	AMP	2	571	0.4%	No
PLOD1		1p36.22	AMP	5	571	0.9%	No
GAL		11q13.2	AMP	13	571	2.3%	No
RABGGTBP1		3q13.2	AMP	32	571	5.6%	No
SPATA20P1		21q22.13	AMP	8	571	1.4%	No
ANAPC1P4		2p11.2	AMP	19	571	3.3%	No
CKB		14q32.33	AMP	9	571	1.6%	No
RNU6-1335P		7p11.2	AMP	12	571	2.1%	No
ASS1P1		6p22.3	AMP	20	571	3.5%	No
TRAJ46		14q11.2	AMP	11	571	1.9%	No
RAD21L1		20p13	AMP	32	571	5.6%	No
WNT7B		22q13.31	AMP	1	571	0.2%	No
ANGPT2		8p23.1	AMP	1	571	0.2%	No
FAM184A		6q22.31	HOMDEL	1	571	0.2%	No
IGHD4-23		14q32.33	AMP	83	571	14.5%	No
GAK		4p16.3	AMP	13	571	2.3%	No
HNRNPCL1		1p36.21	HOMDEL	1	571	0.2%	No
IL20RB		3q22.3	AMP	29	571	5.1%	No
ANAPC1P5		2p11.2	AMP	20	571	3.5%	No
ZKSCAN7-AS1		3p21.31	AMP	2	571	0.4%	No
PLOD2		3q24	AMP	46	571	8.1%	No
ENPP7		17q25.3	AMP	13	571	2.3%	No
NMRAL2P		3q27.2	AMP	68	571	11.9%	No
LINC02982		5p15.33	AMP	42	571	7.4%	No
PELP1-DT		17p13.2	AMP	3	571	0.5%	No
RNU4-74P		7q34	AMP	27	571	4.7%	No
CCDC159		19p13.2	AMP	40	571	7.0%	No
EZR-AS1		6q25.3	AMP	4	571	0.7%	No
AJUBA-DT		14q11.2	AMP	11	571	1.9%	No
ENPP5		6p21.1	AMP	21	571	3.7%	No
CD3E		11q23.3	AMP	7	571	1.2%	No
ASS1P2		2p22.1	AMP	11	571	1.9%	No
TRAJ47		14q11.2	AMP	11	571	1.9%	No
FAHD2P1		12q15	AMP	19	571	3.3%	No
PLOD3		7q22.1	AMP	13	571	2.3%	No
LINC02981		7p15.2	AMP	12	571	2.1%	No
TCF19		6p21.33	AMP	16	571	2.8%	No
GNRHR2		1q21.1	AMP	45	571	7.9%	No
LINC00320		21q21.1	AMP	13	571	2.3%	No
IP6K1		3p21.31	AMP	3	571	0.5%	No
MTRF1LP1		11q23.2	AMP	5	571	0.9%	No
HMGB3P15		4q22.2	HOMDEL	3	571	0.5%	No
TGFBRAP1		2q12.1-q12.2	AMP	8	571	1.4%	No
LINC02980		6p22.2	AMP	20	571	3.5%	No
BDP1P		18q23	AMP	3	571	0.5%	No
RN7SL847P		10p11.22	AMP	21	571	3.7%	No
RNU6-356P		8p11.21	AMP	23	571	4.0%	No
TRGV10		7p14.1	HOMDEL	1	571	0.2%	No
ANAPC1P3		2p11.2	AMP	19	571	3.3%	No
ANGPT4		20p13	AMP	34	571	6.0%	No
RNU6-991P		1p36.23	AMP	7	571	1.2%	No
CCDC158		4q21.1	AMP	10	571	1.8%	No
TRAJ48		14q11.2	AMP	12	571	2.1%	No
CRIP1P2		3p24.2	AMP	5	571	0.9%	No
CLEC19A		16p12.3	AMP	5	571	0.9%	No
CENPCP1		12q21.33	AMP	3	571	0.5%	No
CSTF3-DT		11p13	AMP	9	571	1.6%	No
TMT1AP1		12q13.13	AMP	9	571	1.6%	No
ETF1P1		6p22.1	AMP	16	571	2.8%	No
DAP-DT		5p15.2	AMP	34	571	6.0%	No
HEATR6		17q23.1	AMP	6	571	1.1%	No
HIPK2		7q34	AMP	26	571	4.6%	No
CFAP20DC-AS1		3p14.2	AMP	4	571	0.7%	No
COL2A1		12q13.11	AMP	6	571	1.1%	Yes
SELENOO		22q13.33	AMP	1	571	0.2%	No
RPL23AP72		16q12.1	AMP	18	571	3.2%	No
LINC01580		15q26.2	AMP	7	571	1.2%	No
TSHZ2		20q13.2	AMP	48	571	8.4%	No
WASHC2C		10q11.22	AMP	1	571	0.2%	No
EIF5B		2q11.2	AMP	14	571	2.5%	No
IGHV3-79		14q32.33	HOMDEL	1	571	0.2%	No
HMGB3P5		10q25.2	AMP	2	571	0.4%	No
RNA5SP67		1q25.1	AMP	14	571	2.5%	No
ETF1P2		7q36.1	AMP	26	571	4.6%	No
HSPB1		7q11.23	AMP	7	571	1.2%	No
SETD4-AS1		21q22.12	AMP	7	571	1.2%	No
NBPF13P		1q21.1	AMP	42	571	7.4%	No
HIPK3		11p13	AMP	9	571	1.6%	No
CRIP1P3		1q32.1	AMP	22	571	3.9%	No
ZNF285BP		19q13.31	AMP	19	571	3.3%	No
IGKV1D-16		2p11.2	AMP	25	571	4.4%	No
SELENON		1p36.11	AMP	2	571	0.4%	No
CAV2		7q31.2	AMP	18	571	3.2%	No
G0S2		1q32.2	AMP	11	571	1.9%	No
TSHZ1		18q22.3	AMP	2	571	0.4%	No
LINC01735		1q32.2	AMP	13	571	2.3%	No
EIF5A		17p13.1	AMP	4	571	0.7%	No
RNA5SP66		1q24.2	AMP	12	571	2.1%	No
AQP7P3		9q21.11	AMP	11	571	1.9%	No
OR7E94P		4q21.21	AMP	3	571	0.5%	No
OR4A42P		11p11.2	HOMDEL	3	571	0.5%	No
LINC01581		15q26.2	AMP	7	571	1.2%	No
RN7SL383P		5p12	AMP	45	571	7.9%	No
HMGB3P6		1q23.3	AMP	18	571	3.2%	No
ROPN1B		3q21.2	AMP	21	571	3.7%	No
CAV3		3p25.3	AMP	8	571	1.4%	No
SELENOM		22q12.2	AMP	11	571	1.9%	No
RNA5SP69		1q25.2	AMP	15	571	2.6%	No
HIPK4		19q13.2	AMP	34	571	6.0%	No
LNCHR1		12q22	AMP	2	571	0.4%	No
LINC01733		20p11.1	AMP	29	571	5.1%	No
ATP6V1E1P1		1p34.2	AMP	29	571	5.1%	No
IGKV1D-17		2p11.2	AMP	25	571	4.4%	No
TCF15		20p13	AMP	35	571	6.1%	No
AQP7P1		9q13	AMP	20	571	3.5%	No
CD27		12p13.31	AMP	49	571	8.6%	No
TOB2P1		6p22.1	AMP	20	571	3.5%	No
C12ORF75-AS1		12q23.3	AMP	2	571	0.4%	No
RNU7-18P		3q29	AMP	65	571	11.4%	No
SNORD114-1		14q32.31	AMP	7	571	1.2%	No
RNASEK-C17ORF49		17p13.1	AMP	2	571	0.4%	No
RPL23AP70		14q13.2	AMP	4	571	0.7%	No
WASHC2A		10q11.23	AMP	3	571	0.5%	No
HMGB3P7		13q33.1	AMP	7	571	1.2%	No
APC		5q22.2	AMP	1	571	0.2%	Yes
ATP6V1E1P2		18q11.2	AMP	20	571	3.5%	No
CD28		2q33.2	AMP	10	571	1.8%	Yes
LINC01734		20q12	AMP	35	571	6.1%	No
ASMER1		21q11.2	HOMDEL	7	571	1.2%	No
SLCO1A2		12p12.1	AMP	65	571	11.4%	No
AQP7P2		9q13	AMP	15	571	2.6%	No
PTP4A1P2		12q24.33	HOMDEL	1	571	0.2%	No
RPL23AP71		14q13.1	AMP	3	571	0.5%	No
ANKRA2		5q13.2	AMP	1	571	0.2%	No
MRPS33P2		4p14	HOMDEL	3	571	0.5%	No
HEATR4		14q24.3	AMP	2	571	0.4%	No
RWDD2A		6q14.1	AMP	12	571	2.1%	No
RNA5SP68		1q25.1	AMP	14	571	2.5%	No
NMB		15q25.2	AMP	6	571	1.1%	No
MLIP-IT1		6p12.1	AMP	16	571	2.8%	No
LIPA		10q23.31	HOMDEL	6	571	1.1%	No
CRIP1P1		3p25.2	AMP	6	571	1.1%	No
CAMTA2-AS1		17p13.2	AMP	3	571	0.5%	No
SYNM		15q26.3	AMP	11	571	1.9%	No
TSHZ3		19q12	AMP	63	571	11.0%	No
NOXRED1		14q24.3	AMP	6	571	1.1%	No
IGKV1D-12		2p11.2	AMP	25	571	4.4%	No
CHL1		3p26.3	HOMDEL	1	571	0.2%	No
CPN1		10q24.2	AMP	1	571	0.2%	No
HMGB3P1		20q11.22	AMP	37	571	6.5%	No
RN7SL368P		19q13.31	AMP	18	571	3.2%	No
MFAP3L		4q33	AMP	4	571	0.7%	No
RPS7P8		6q16.1	AMP	11	571	1.9%	No
LINC01584		15q25.3	AMP	7	571	1.2%	No
OR2M1P		1q44	AMP	27	571	4.7%	No
CD22		19q13.12	AMP	46	571	8.1%	Yes
HTR3B		11q23.2	HOMDEL	1	571	0.2%	No
RNA5SP64		1q24.1	AMP	18	571	3.2%	No
KLKP1		19q13.33	AMP	6	571	1.1%	No
SMIM30		7q31.1	AMP	17	571	3.0%	No
RWDD2B		21q21.3	AMP	7	571	1.2%	No
NTMT2		1q24.2	AMP	12	571	2.1%	No
LINC02021		3q22.1	AMP	19	571	3.3%	No
KIRREL3-AS1		11q24.2	AMP	8	571	1.4%	No
UTS2		1p36.23	AMP	10	571	1.8%	No
HEATR3		16q12.1	AMP	1	571	0.2%	No
LINC01738		1p33	AMP	10	571	1.8%	No
GRM7-AS1		3p26.1	AMP	6	571	1.1%	No
RNA5SP63		1q23.3	AMP	19	571	3.3%	No
CPN2		3q29	AMP	63	571	11.0%	No
LINC01739		1p31.3	AMP	5	571	0.9%	No
RPS7P9		10q23.1	AMP	12	571	2.1%	No
HTR3A		11q23.2	HOMDEL	1	571	0.2%	No
IFNA7		9p21.3	HOMDEL	7	571	1.2%	No
LINC01585		15q26.1	AMP	7	571	1.2%	No
HMGB3P2		20q11.23	AMP	38	571	6.7%	No
LINC02022		3p25.2	AMP	6	571	1.1%	No
KIRREL3-AS2		11q24.2	AMP	8	571	1.4%	No
NGFR		17q21.33	AMP	5	571	0.9%	No
SELENOK		3p21.1	AMP	5	571	0.9%	No
ST3GAL3-AS1		1p34.1	AMP	25	571	4.4%	No
AZU1P1		13q14.11	AMP	3	571	0.5%	No
IGKV1OR2-108		2q12-q14	AMP	10	571	1.8%	No
HEATR1		1q43	AMP	29	571	5.1%	No
IFNA8		9p21.3	HOMDEL	12	571	2.1%	No
ARL8B		3p26.1	AMP	4	571	0.7%	No
GRM7-AS2		3p26.1	AMP	4	571	0.7%	No
HSPB2		11q23.1	AMP	4	571	0.7%	No
OR5AH1P		19q13.43	AMP	11	571	1.9%	No
SMIM32		5q31.1	AMP	1	571	0.2%	No
ARHGEF28P1		3q12.1	AMP	18	571	3.2%	No
KIRREL3-AS3		11q24.2	AMP	8	571	1.4%	No
LINC01736		1q42.13	AMP	24	571	4.2%	No
HMGB3P3		5p15.32	AMP	34	571	6.0%	No
GNRH1		8p21.2	HOMDEL	3	571	0.5%	No
ZNF75BP		12q12	HOMDEL	1	571	0.2%	No
TUBD1		17q23.1	AMP	6	571	1.1%	No
FDPS		1q22	AMP	23	571	4.0%	No
AQP7P4		9q13	AMP	20	571	3.5%	No
RPS7P6		4p15.32	AMP	3	571	0.5%	No
CD24		6q21	AMP	15	571	2.6%	No
IGKV1D-13		2p11.2	AMP	25	571	4.4%	No
LINC01582		15q26.3	AMP	11	571	1.9%	No
ARIH2OS		3p21.31	AMP	3	571	0.5%	No
PMM2		16p13.2	AMP	7	571	1.2%	No
RNU6-1149P		21q22.3	AMP	5	571	0.9%	No
LINC01583		15q25.2	AMP	4	571	0.7%	No
HADHAP1		4q32.3	HOMDEL	1	571	0.2%	No
ARL8A		1q32.1	AMP	22	571	3.9%	No
THYN1		11q25	AMP	10	571	1.8%	No
GRM7-AS3		3p26.1	AMP	4	571	0.7%	No
RNA5SP65		1q24.1	AMP	15	571	2.6%	No
HMGB3P4		13q32.3	AMP	9	571	1.6%	No
SELENOI		2p23.3	AMP	11	571	1.9%	No
SMIM31		4q32.3	AMP	1	571	0.2%	No
CAV1		7q31.2	AMP	18	571	3.2%	No
HSPB3		5q11.2	AMP	5	571	0.9%	No
HIPK1		1p13.2	AMP	9	571	1.6%	No
NELL2		12q12	AMP	17	571	3.0%	No
TANAR		2q37.3	AMP	10	571	1.8%	No
LINC02020		3q27.3	AMP	67	571	11.7%	No
RN7SL693P		19q13.43	AMP	10	571	1.8%	No
LINC01737		1q42.2	AMP	24	571	4.2%	No
LRRC3-DT		21q22.3	AMP	7	571	1.2%	No
RPS7P7		4p13	AMP	3	571	0.5%	No
AQP7P5		9p11.2	AMP	8	571	1.4%	No
LINC02631		2q22.1	HOMDEL	1	571	0.2%	No
SMIM34		21q22.12	AMP	6	571	1.1%	No
HSPB7		1p36.13	AMP	5	571	0.9%	No
RNU6-541P		14q12	AMP	4	571	0.7%	No
MACROH2A1		5q31.1	AMP	1	571	0.2%	No
RAVER2		1p31.3	AMP	10	571	1.8%	No
MPC2		1q24.2	AMP	15	571	2.6%	No
FDPSP6		21q21.1	HOMDEL	2	571	0.4%	No
AMMECR1LP1		13q32.1	AMP	8	571	1.4%	No
LRP2BP		4q35.1	AMP	2	571	0.4%	No
CORO7-PAM16		16p13.3	AMP	7	571	1.2%	No
RPS7P4		1p31.3	AMP	9	571	1.6%	No
NRROS		3q29	AMP	64	571	11.2%	No
RNA5SP60		1q23.2	AMP	17	571	3.0%	No
LIPI		21q11.2	HOMDEL	7	571	1.2%	No
NUP205		7q33	AMP	24	571	4.2%	No
MCIDAS		5q11.2	AMP	3	571	0.5%	No
